Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Return_ID,Original_Tx_ID,Return_Date,Refund_Amount,Status,Refund_Amount_missing,clean_tx_id,month,ticket_count,negative_tickets,top_topic
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,,,,,,,,2023-11,1,1,delivery_delay
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,,,2023-12,0,0,no_tickets
100391,,C0001,Smart Home,NordTherm,101.68,1,Paid,,,,,,,,NaT,1,0,setup_technical
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,,,,,,,,2023-12,1,0,delivery_delay
100105,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100603,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,,,,,,,,2023-12,0,0,no_tickets
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100563,2023-12-03,C0008,Electronics ,Smartphone Z,855.14,1,Paid,R000001,Ref: 100563,,855.14,Processed,False,100563,2023-12,0,0,no_tickets
100366,2023-11-28,C0004, Electronics ,Smartphone Z,1024.64,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,,,,,,,,2023-12,0,0,no_tickets
100043,,C0002,Electronics ,TV Pro,1164.3,1,Paid,,,,,,,,NaT,0,0,no_tickets
100725,2023-12-06,C0003, Accessories,Laptop Sleeve,27.13,2,Paid,,,,,,,,2023-12,0,0,no_tickets
100456,2023-11-30,C0001, Smart Home ,NordTherm,105.45,1,Paid,,,,,,,,2023-11,0,0,no_tickets
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,290.46,1,Paid,,,,,,,,2023-12,0,0,no_tickets
101176,2023-11-24,C0017,Accessories,Phone Case,34.84,1,Paid,,,,,,,,2023-11,1,0,setup_technical
